SURVEY_DATE,EURO-SUPER_95
1/3/2005,1115.75
1/10/2005,1088
1/17/2005,1088.14
1/24/2005,1090.01
1/31/2005,1132.11
2/7/2005,1135.87
2/14/2005,1135.88
2/21/2005,1136.04
2/28/2005,1136.04
3/7/2005,1158.78
3/14/2005,1185.9
3/21/2005,1185.98
4/4/2005,1187.92
4/11/2005,1236.35
4/18/2005,1236.35
4/25/2005,1234.89
5/2/2005,1234.89
5/9/2005,1215.38
5/16/2005,1201.12
5/23/2005,1186.26
5/30/2005,1186.26
6/6/2005,1197.86
6/13/2005,1216.26
6/20/2005,1216.44
6/27/2005,1231.19
7/4/2005,1245.79
7/11/2005,1246.15
7/18/2005,1247.67
7/25/2005,1245.7
8/1/2005,1246.26
8/8/2005,1246.26
8/22/2005,1275.6
8/29/2005,1277.05
9/5/2005,1306.89
9/12/2005,1329.84
9/19/2005,1296.46
9/26/2005,1293.42
10/3/2005,1335.22
10/10/2005,1337.86
10/17/2005,1334.07
10/24/2005,1295.58
10/31/2005,1256.81
11/7/2005,1255.08
11/14/2005,1245.95
11/21/2005,1226.62
11/28/2005,1226.19
12/5/2005,1207.21
12/12/2005,1214.49
12/19/2005,1228.03
1/2/2006,1217.22
1/9/2006,1255.71
1/16/2006,1259.7
1/23/2006,1260.08
1/30/2006,1260.32
2/6/2006,1258.18
2/13/2006,1257.92
2/20/2006,1228.36
2/27/2006,1226.36
3/6/2006,1256.01
3/13/2006,1256.01
3/20/2006,1261.81
3/27/2006,1261.48
4/3/2006,1286.65
4/10/2006,1289.98
4/24/2006,1338.02
5/1/2006,1342.06
5/2/2006,1342.06
5/8/2006,1345.29
5/15/2006,1344.22
5/22/2006,1337.34
5/29/2006,1335.81
6/5/2006,1336.4
6/12/2006,1336.72
6/19/2006,1336.72
6/26/2006,1336.72
7/3/2006,1354.09
7/10/2006,1367.11
7/17/2006,1385.08
7/24/2006,1387.42
7/31/2006,1387.16
8/7/2006,1388.58
8/14/2006,1389.48
8/21/2006,1362.07
8/28/2006,1329.95
9/4/2006,1293.31
9/11/2006,1271.34
9/18/2006,1251.56
9/25/2006,1231.52
10/2/2006,1230.16
10/9/2006,1220.03
10/16/2006,1219.79
10/23/2006,1219.79
10/30/2006,1219.79
11/6/2006,1220.03
11/13/2006,1219.93
11/20/2006,1218.78
11/27/2006,1218.89
12/4/2006,1219.22
12/11/2006,1219.22
12/18/2006,1219.22
1/8/2007,1218.68
1/15/2007,1207.69
1/22/2007,1198.79
1/29/2007,1198.22
2/5/2007,1198.59
2/12/2007,1200.79
2/19/2007,1201.46
2/26/2007,1221.66
3/5/2007,1231.49
3/12/2007,1241.27
3/19/2007,1240.75
3/26/2007,1240.43
4/2/2007,1256.4
4/16/2007,1276.21
4/23/2007,1279.61
4/30/2007,1293.63
5/7/2007,1309.43
5/14/2007,1312.83
5/21/2007,1326.55
5/28/2007,1342.73
6/4/2007,1343.85
6/11/2007,1346.21
6/18/2007,1346.14
6/25/2007,1350.93
7/2/2007,1351.09
7/9/2007,1352.35
7/16/2007,1358.88
7/23/2007,1356.7
7/30/2007,1348.53
8/6/2007,1332.93
8/13/2007,1302.4
8/20/2007,1301.15
8/27/2007,1293.62
9/3/2007,1297.97
9/10/2007,1308.83
9/17/2007,1307.5
9/24/2007,1313.24
10/1/2007,1314.09
10/8/2007,1311.48
10/15/2007,1311.83
10/22/2007,1313.46
10/29/2007,1319.09
11/5/2007,1331.65
11/12/2007,1356.42
11/19/2007,1360.44
11/26/2007,1363.88
12/3/2007,1363.44
12/10/2007,1361.99
12/17/2007,1358.66
12/31/2007,1359.16
1/7/2008,1377.18
